clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,freq_anger,bi_anger,freq_anticipation,bi_anticipation,freq_disgust,bi_disgust,freq_fear,bi_fear,freq_joy,bi_joy,freq_love,bi_love,freq_optimism,bi_optimism,freq_pessimism,bi_pessimism,freq_sadness,bi_sadness,freq_surprise,bi_surprise,freq_trust,bi_trust
making yearly transition excited hopeful college returner sick exhausted pessimist college,['college'],0,0,1,0,0,0,0,1,1,0,0,0.0045359813656981746,0.0,0.004721223021582734,0.0,0.006470165348670022,0.0004714090416254185,0.009898904802021906,0.0,0.008724915866882711,0.0,0.004306061609804571,0.0,0.009270158917010003,0.0,0.011432009626955475,0.0014956625785222854,0.008801213960546282,0.0006110228522546743,0.0,0.0,0.0010188487009679063,0.0
hard dance devil back\nso shake,[],0,0,0,0,0,0,0,0,0,0,0,0.0033100404560500183,0.0,0.002922661870503597,0.0,0.004193625688952792,0.0,0.003369839932603201,0.0,0.004237816278200175,0.0,0.003312355084465055,0.0,0.004120070629782225,0.0,0.005114320096269555,0.0,0.005462822458270107,0.0,0.00399400898652022,0.0,0.0010188487009679063,0.0
tiller breezy collab album rapping singing prolly fire,[],0,0,0,0,1,1,0,0,0,0,0,0.005026357729557436,0.0,0.0038219424460431656,0.0,0.004313443565780015,0.0,0.0016849199663016006,0.0,0.008724915866882713,0.0003514409077216588,0.01026830076184167,0.0011836320595197836,0.006032960565038258,0.0,0.0012033694344163659,0.0,0.0024279210925644916,0.0,0.00399400898652022,0.0,0.0020376974019358125,0.0
girl hit car get lucky scratch also spared wrath sleep deprived kait upsidedownface,[],1,0,0,0,0,0,0,0,1,0,0,0.030280740468309426,0.0005817617685557764,0.02068345323741007,0.00011716461628588167,0.02779774742391565,0.0,0.02316764953664701,0.00019603999215840032,0.022435497943412687,0.00010041168792047395,0.015899304405432264,0.00033818058843422386,0.022513243084167158,0.00012271444348999877,0.02346570397111913,0.0,0.030955993930197274,0.0007943297079310766,0.012980529206190715,0.0,0.015282730514518594,0.0
btuk broadband shocking regretting signing angry shouldofgonewithvirgin,"['angry', 'shouldofgonewithvirgin']",1,0,1,0,0,0,0,0,0,0,0,0.020105430918229743,0.0002908808842778882,0.0017985611510791366,0.0,0.01785286364725617,0.00047140904162541844,0.004212299915754001,0.0,0.001620341518135361,0.0,0.0009937065253395165,0.0,0.0022071806945261918,0.0,0.0009025270758122744,0.0,0.007587253414264037,0.0,0.03295057413879182,0.001322314049586777,0.0010188487009679063,0.0
people need look definition protest protesting called vandalism angry stop,"['angry', 'stop']",1,0,1,0,0,0,0,0,1,0,0,0.04879244820399657,0.0008726426528336646,0.017985611510791373,0.0,0.04684878983944405,0.0008485362749257532,0.02274641954507161,9.801999607920016e-05,0.0216876480119656,0.0,0.013911891354753231,0.0,0.023543260741612716,0.0,0.018050541516245487,0.0,0.0291350531107739,0.0006110228522546743,0.00998502246630055,0.0,0.010697911360163015,0.0
bitchesthecat look teef growl,['growl'],1,0,1,1,0,0,0,0,0,0,0,0.005026357729557436,0.00024240073689824016,0.002697841726618705,0.0,0.004792715073088905,0.00014142271248762553,0.0033698399326032016,0.0002940599882376005,0.005982799451576717,0.0,0.004306061609804571,0.0,0.004561506768687463,0.0,0.0027075812274368234,0.0,0.002731411229135053,0.0,0.00599101347978033,0.0006611570247933885,0.0015282730514518594,0.0
star trek online update download fuming yay,[],1,0,1,0,1,0,0,0,1,0,0,0.012872379551305628,0.0002908808842778882,0.0024730215827338128,0.0,0.01054397316079559,0.00028284542497525106,0.0016849199663016008,0.0,0.003489966346753085,0.0003012350637614218,0.0003312355084465055,0.0,0.0019128899352560329,0.0,0.0009025270758122744,0.0,0.006069802731411229,0.0003666137113528046,0.0004992511233150275,0.0,0.0010188487009679063,0.0
bitter battle sweeter victory,[],0,0,0,0,1,0,1,0,0,0,0,0.006865269094029668,0.0,0.0024730215827338128,0.0,0.006350347471842799,0.0,0.00042122999157540015,0.0,0.003988532967717812,0.0001506175318807109,0.0023186485591255384,0.0,0.00515008828722778,0.00018407166523499817,0.0024067388688327317,0.0,0.005462822458270106,0.0,0.0014977533699450825,0.0,0.004584819154355578,0.0
cant stop finished dejected luckily one bathroom stall wait pants dry,[],1,0,1,0,0,0,0,0,1,0,0,0.021208777736913084,0.00048480147379648033,0.01798561151079137,0.0,0.021926671459381743,0.0004714090416254185,0.014532434709351307,0.0,0.018696248286177237,0.0,0.01258694932096721,0.0,0.017951736315479694,0.0,0.01684717208182912,0.0,0.020940819423368742,0.0006110228522546743,0.008487269096355467,0.0,0.01120733571064697,0.0
nhlexpertpicks usahockey usa embarrassing watch last time guys game horrible joke,"['horrible', 'joke']",1,0,1,0,0,0,0,0,0,0,0,0.03383596910628907,0.0009211228002133126,0.024280575539568344,0.00011716461628588167,0.033549005511622335,0.000895677179088295,0.02443133951137321,0.0,0.03427645519132494,0.0002008233758409479,0.02285525008280888,0.0,0.028399058269570336,0.00024542888697999754,0.01835138387484958,0.0,0.027617602427921092,0.00012220457045093486,0.01797304043934099,0.00033057851239669424,0.012735608762098827,0.0
newyork several baloch amp indian activists hold demonstrations outside headquarters demanding pak stop exporting terror india,"['NewYork', 'Baloch', 'terror']",0,0,0,1,0,0,0,0,1,0,0,0.029912958195414983,0.0,0.01955935251798561,0.0,0.032111190989695663,0.0,0.04359730412805392,0.001470299941188003,0.023432631185342143,0.0,0.01623053991387877,0.0,0.023690406121247794,0.0,0.017148014440433214,0.0,0.02670713201820942,0.0009165342783820114,0.015476784822765852,0.0,0.016811003565970453,0.0
awareness time awareness time lost awareness time,"['awareness', 'time']",0,0,0,0,1,1,1,0,0,0,0,0.031138899105063136,0.0,0.022032374100719423,0.0,0.02875629043853343,0.0,0.02759056444818871,0.0,0.043624579334413556,0.0006526759714830806,0.03378602186154356,0.002029083530605343,0.042672160094173045,0.0007362866609399927,0.029783393501805054,0.0,0.044764795144157814,6.110228522546743e-05,0.007488766849725412,0.0,0.013754457463066735,0.0
glee filled normy dry humping recent high profile celebrity break pathetic amp wrong world today,[],1,0,1,0,0,0,0,0,0,0,0,0.030893710923133505,0.0006787220633150725,0.024280575539568344,0.0,0.031392283728732324,0.0006599726582755857,0.026748104465037913,0.0,0.041131746229589934,0.0,0.033123550844650546,0.0,0.03708063566804002,0.0,0.02527075812274368,0.0,0.03429438543247345,0.0,0.0199700449326011,0.0,0.023433520122261846,0.0
zorefx guys see next video fucking horrid,[],1,0,1,1,0,0,0,0,1,0,0,0.024886600465857545,0.00033936103165753623,0.01731115107913669,0.0,0.023364485981308414,0.00032998632913779286,0.017059814658803706,0.0006861399725544012,0.016701981802318334,0.0,0.008280887711162636,0.0,0.014420247204237787,0.0,0.0105294825511432,0.0,0.019423368740515933,0.0003666137113528046,0.010983524712930605,0.0,0.005094243504839531,0.0
fucking muppet jrwild1 stalker,['stalker'],1,0,1,0,0,0,0,0,0,0,0,0.01066568591393895,0.00024240073689824016,0.0002248201438848921,0.0,0.008507069254732809,0.00014142271248762553,0.0035804549283909013,0.0,0.0011217748971706345,0.0,0.000662471016893011,0.0,0.00044143613890523835,0.0,0.0018050541516245488,0.0,0.0030349013657056147,0.0,0.0004992511233150275,0.0,0.0005094243504839531,0.0
adamrodricks like optimism,[],0,0,0,0,1,0,1,0,0,0,0,0.02267990682849087,0.0,0.012814748201438849,0.0,0.023843757488617303,4.714090416254184e-05,0.012847514743049706,0.0,0.02106443973575969,0.0001506175318807109,0.011262007287181186,0.0,0.02413184226015303,0.00018407166523499817,0.019253910950661854,0.0,0.02018209408194234,0.0,0.010983524712930605,0.0,0.0163015792154865,0.0
cat bloody lucky rspca open 3am last night fuming poutingface catface,['fuming'],1,0,1,0,1,0,0,0,0,0,0,0.021821748191737163,0.0008726426528336646,0.010566546762589928,0.00046865846514352667,0.019769949676491733,0.0009428180832508368,0.010951979780960405,0.000588119976475201,0.01321201545556525,0.0008534993473240286,0.010599536270288175,0.0005072708826513358,0.009417304296645085,0.00024542888697999754,0.009025270758122745,0.0007478312892611427,0.015174506828528073,0.0006110228522546743,0.0064902646030953574,0.0009917355371900827,0.004584819154355578,0.0003136762860727729
faithhill remember well happy afraid positive,"['happy', 'afraid', 'Positive']",0,0,0,1,1,1,1,0,0,0,0,0.008336398185607455,0.0,0.010566546762589928,0.00011716461628588167,0.00826743350107836,0.0,0.019376579612468407,0.0004900999803960008,0.03390253022560139,0.00045185259564213277,0.037098376946008614,0.0013527223537368955,0.03325485579752796,0.0005522149957049945,0.010529482551143202,0.0,0.011836115326251897,0.0,0.011482775836245632,0.0,0.01273560876209883,0.0
autocorrect changes resent greatly,[],1,0,1,0,0,0,0,0,0,0,0,0.0023292877283314943,0.0001454404421389441,0.0004496402877697842,0.0,0.0021567217828900075,0.00014142271248762553,0.00042122999157540015,0.0,0.0004985666209647265,0.0,0.0003312355084465055,0.0,0.00044143613890523835,0.0,0.0009025270758122744,0.0,0.0009104704097116844,0.0,0.0,0.0,0.0,0.0
mean done watching pilot nice see group actors perform without story lines dripping relentless nihilism,[],1,0,1,0,1,0,1,0,0,0,0,0.0197376486453353,0.0006787220633150725,0.01843525179856115,0.0,0.019410496046010063,0.0006599726582755857,0.01769165964616681,9.801999607920016e-05,0.026797955876854046,0.0008032935033637916,0.017886717456111294,0.00016909029421711193,0.025309005297233657,0.0008590011044299913,0.015042117930204572,0.0,0.020940819423368746,0.0,0.011482775836245632,0.0,0.009169638308711156,0.0
waterboysas would never strategically vote someone agree lot clinton vote based fear negativity,[],1,0,1,1,0,0,0,0,0,0,0,0.033222998651465,0.0006302419159354244,0.023606115107913668,0.00011716461628588167,0.03342918763479511,0.0006128317541130439,0.04317607413647852,0.0012742599490296025,0.023307989530100957,5.0205843960236973e-05,0.01854918847300431,0.00016909029421711193,0.03502060035314891,6.135722174499939e-05,0.023465703971119134,0.00014956625785222854,0.02685887708649469,0.0,0.01597603594608088,0.0,0.028527763627101375,0.0
roguecoder250 much trouble think rev see funny side project,[],0,0,0,1,1,0,0,0,1,0,0,0.02120877773691308,0.0,0.02158273381294964,0.0,0.021447399952072847,0.0,0.02274641954507161,0.001568319937267203,0.03103577215505422,0.0004016467516818958,0.02053660152368334,0.0,0.02678045909358446,0.0,0.023766546329723224,0.0,0.025341426403641884,0.0004888182818037394,0.010983524712930605,0.0,0.015282730514518592,0.0
jenny69 people always get offended everyone situation different kids mean settle,[],1,0,1,0,0,0,0,0,1,0,0,0.05859997548118181,0.0006302419159354244,0.026528776978417264,0.0,0.0561945842319674,0.0006128317541130439,0.029907329401853415,9.801999607920016e-05,0.032905396983671946,0.00010041168792047395,0.026830076184166943,0.0,0.0386992348440259,6.135722174499939e-05,0.033092659446450054,0.0,0.04825493171471928,0.0006110228522546743,0.01797304043934099,0.0,0.02649006622516556,0.0003136762860727729
find way top glee,['glee'],0,0,0,0,1,1,1,0,0,0,0,0.009317150913325977,0.0,0.009667266187050359,0.00011716461628588167,0.011262880421758926,4.714090416254184e-05,0.009267059814658803,0.0,0.015455565249906517,0.0001506175318807109,0.01689301093077178,0.0005072708826513358,0.013095938787522072,0.0003067861087249969,0.008724428399518652,0.0,0.011532625189681334,0.00012220457045093486,0.0074887668497254116,0.0,0.010697911360163015,0.0006273525721455458
aliki111 haters low self worth self righteous delusions cower thought change change inevitable,[],1,0,1,0,0,0,0,0,0,0,0,0.010420497732009317,0.0006302419159354244,0.005845323741007194,0.0,0.010424155283968367,0.0006128317541130439,0.0056866048862679024,0.0,0.009098840832606259,5.0205843960236973e-05,0.0029811195760185492,0.0,0.010447321954090642,6.135722174499939e-05,0.011732851985559569,0.00014956625785222854,0.008952959028831564,0.0,0.002995506739890165,0.0,0.004075394803871625,0.0
smile every morning positive head start clients relations,"['smile', 'clients']",0,0,0,0,1,0,1,0,0,0,0,0.010052715459114871,0.0,0.017086330935251796,0.0,0.011023244668104483,0.0,0.011162594776748105,0.0,0.031534338776018946,0.0003514409077216588,0.02848625372639947,0.0,0.03369629193643319,0.00042950055221499566,0.008724428399518652,0.0,0.012139605462822459,0.0,0.00798801797304044,0.0,0.018848700967906265,0.0
saved ordering risk life panic stayed calm rescued,[],0,0,0,0,0,0,1,0,0,0,0,0.007355645457888929,0.0,0.006744604316546762,0.0,0.008147615624251137,0.0,0.02190395956192081,0.0,0.011840957247912252,0.0,0.008612123219609143,0.0,0.015450264861683343,0.00042950055221499566,0.015643802647412757,0.0,0.014415781487101672,0.0,0.0044932601098352475,0.0,0.007131940906775344,0.0
slaveguinevere little prick sting come tennessee get it1,[],0,0,0,0,0,0,0,0,0,0,0,0.024151035920068654,0.0,0.02068345323741007,0.0,0.02192667145938174,0.0,0.016638584667228305,0.0,0.02343263118534214,0.0,0.01589930440543226,0.0,0.023543260741612712,0.0,0.017148014440433214,0.0,0.024127465857359635,0.0,0.013479780329505742,0.0,0.017320427916454405,0.0
imtarakate uggh really horrible bad person stretch imagination hope person realizes,[],0,0,1,1,0,0,1,0,0,0,1,0.026357729557435334,9.696029475929607e-05,0.015512589928057555,0.0,0.03127246585190511,0.0005656908499505021,0.032013479359730417,0.0011762399529504021,0.018197681665212517,0.0,0.014905597880092747,0.0,0.02280753384343731,0.0006135722174499938,0.021961492178098677,0.0,0.028528072837632777,6.110228522546743e-05,0.010983524712930605,0.0,0.019867549668874173,0.0031367628607277286
young people bitter older contestants probably know make bakewell tarts facewithtearsofjoy gbbo,['GBBO'],1,0,1,0,1,0,0,0,1,0,0,0.05394140002451881,0.0006302419159354244,0.028776978417266185,0.0,0.054397316079559076,0.0006599726582755857,0.032013479359730417,0.00039207998431680063,0.049358095475507915,0.0006024701275228437,0.029148724743292484,0.0,0.045026486168334316,6.135722174499939e-05,0.03068592057761733,0.0,0.04628224582701062,0.0007332274227056092,0.026460309535696457,0.0,0.020886398369842078,0.0
living depression mean must defeated it\nevery day new day yesterday decide today looks like,['depression'],0,0,0,0,0,0,1,0,1,0,0,0.05357361775162438,0.0001454404421389441,0.043390287769784174,0.0005858230814294083,0.05547567697100407,0.0002357045208127092,0.04338668913226622,0.0002940599882376005,0.07540820142091487,0.0004518525956421327,0.05862868499503148,0.00033818058843422386,0.07136550912301354,0.0012885016566449871,0.05415162454873646,0.0005982650314089142,0.07268588770864948,0.0009776365636074789,0.03245132301547679,0.0009917355371900827,0.033112582781456956,0.0
wake fresh terror threat sounding alert mumbai praying safety amp security everybody city maharashtra news,"['terror', 'Mumbai', 'Maharashtra', 'news']",0,0,0,1,0,0,0,0,0,0,0,0.02513178864778718,0.0,0.015287769784172662,0.0,0.026240115025161756,0.0,0.03664700926705981,0.001470299941188003,0.02430512277203041,0.0,0.015568068896985757,0.0,0.022218952324897,0.0,0.015342960288808665,0.00014956625785222854,0.024127465857359635,0.0,0.012980529206190715,0.0,0.015282730514518594,0.0
tamrabarney shannonbeador rhockellydodd tamra would swung tamra\nkelly piece pileofpoo needstobeadmitted bully,"['needstobeadmitted', 'bully']",1,0,1,0,0,0,0,0,0,0,0,0.019737648645335296,0.0009211228002133126,0.011241007194244604,0.0,0.017493410016774506,0.0004714090416254185,0.008213984835720303,0.0,0.009722049108812168,0.00045185259564213277,0.005631003643590593,0.0,0.008975868157739847,0.0,0.00842358604091456,0.0,0.011987860394537178,0.0,0.004992511233150275,0.0,0.009169638308711156,0.0
accusd india violations kashmir refusd name india role fomenting terror pakistan ttp bla amp mqmshame,['ZH'],1,0,1,0,0,0,0,0,1,1,0,0.030525928650239065,0.0007272022106947205,0.017535971223021585,0.0,0.03187155523604122,0.0007071135624381275,0.04486099410278012,9.801999607920016e-05,0.021189081391000873,0.0,0.013580655846306723,0.0,0.020158917010005883,0.0,0.01474127557160048,0.0,0.0244309559939302,0.0009165342783820114,0.0199700449326011,0.004628099173553719,0.014263881813550688,0.0
weeks till pick camera though think group cemetery shoot october make photography,['photography'],0,1,0,0,1,0,1,0,0,0,0,0.019737648645335296,0.0,0.021807553956834532,0.0012888107791446982,0.020129403306973402,0.0,0.020640269587194608,0.0010782199568712021,0.01931945656238315,0.0005522642835626067,0.011924478304074199,0.0,0.022954679223072393,0.0006749294391949932,0.015643802647412754,0.0,0.02291350531107739,0.0,0.008986520219670495,0.0,0.013754457463066735,0.0
morgannbroom yes redheartselector redheartselector amp cheering homecoming game,[],0,0,0,0,1,1,1,0,0,0,0,0.020595807282089006,0.0,0.020458633093525178,0.00023432923257176333,0.021327582075245627,0.0,0.018534119629317607,0.0,0.033653246915119034,0.0006024701275228437,0.03179860881086453,0.0015218126479540073,0.027516185991759857,0.0005522149957049945,0.013237063778580025,0.0,0.019271623672230655,0.0,0.012481278082875687,0.0,0.019867549668874173,0.0
shy freshman year guy introduced asking spoke english,[],0,1,0,0,1,0,0,0,1,0,0,0.007110457275959299,0.0,0.007194244604316547,0.0008201523140011717,0.007788161993769471,0.0,0.007371524852569503,0.0,0.007229216003988534,0.0004016467516818958,0.002649884067572044,0.00016909029421711193,0.006474396703943496,0.0,0.006919374247894104,0.0,0.008042488619119879,0.000427715996578272,0.002995506739890165,0.0,0.004584819154355578,0.0
love happiness sadness feelings dependent another person,[],0,0,0,0,0,1,1,0,0,0,1,0.01140125045972784,4.848014737964803e-05,0.007868705035971223,0.0,0.01282051282051282,4.714090416254184e-05,0.009477674810446503,0.0,0.030661847189330675,0.00010041168792047395,0.05895992050347798,0.0011836320595197836,0.03060623896409653,0.0004908577739599951,0.018652226233453674,0.0,0.024886191198786038,0.00012220457045093486,0.0024962556165751375,0.0,0.020376974019358125,0.0018820577164366371
wabermes ravallirepublic good one reporter quit,[],0,0,0,0,0,0,0,0,0,0,0,0.01605982591639083,0.0,0.015287769784172662,0.0,0.01557632398753894,0.0,0.013058129738837406,0.0,0.027795089118783495,0.0,0.01987413050679033,0.0,0.029281930547380812,0.0,0.015944645006016847,0.0007478312892611427,0.017602427921092567,0.00030551142612733715,0.0044932601098352475,0.0,0.021905247070809986,0.0
biglepley angela31694996 theindigoarrow want start biker gang together gta online biker dlc comes,[],0,1,0,0,1,0,1,0,0,0,0,0.014098320460953781,0.0,0.02180755395683453,0.0015231400117164614,0.013539420081476157,0.0,0.012426284751474306,0.0,0.018696248286177244,0.0006024701275228437,0.008280887711162636,0.0,0.022071806945261913,0.0007976438826849919,0.01203369434416366,0.0,0.013201820940819422,6.110228522546743e-05,0.0044932601098352475,0.0,0.010188487009679063,0.0
kristiann1125 lol wow gon say really haha seen chris nah dont even snap anymore dude,[],1,0,1,0,1,0,0,0,0,1,0,0.04008826774549468,0.0006787220633150725,0.027877697841726622,0.0,0.04325425353462737,0.0006599726582755857,0.02422072451558551,0.00019603999215840032,0.037891063193319204,0.0007028818154433176,0.0241801921165949,0.0,0.024131842260153025,0.0,0.02858002406738869,0.00014956625785222854,0.03657056145675265,6.110228522546743e-05,0.038442336495257114,0.004628099173553719,0.012735608762098824,0.0
possible changing meds best done stress difficult tell part despair circumstantial drugs,[],0,0,0,0,0,0,0,0,1,0,0,0.014956479097707491,0.0,0.010116906474820145,0.0,0.013779055835130602,0.0,0.012636899747262006,0.0,0.013835223731771158,0.0,0.009274594236502154,0.0,0.016774573278399058,0.0,0.01022864019253911,0.0,0.018664643399089534,0.0006721251374801417,0.006989515726410385,0.0,0.009169638308711155,0.0
ive felt surprisingly gloomy bad scouts today recognize rng yeah didnt spend many gems,[],0,0,0,0,0,0,1,1,1,0,0,0.019492460463405668,0.0,0.009442446043165468,0.0,0.02072849269110951,0.0,0.017902274641954506,0.0,0.018571606630936058,0.0,0.012918184829413714,0.0,0.020894643908181285,0.0007976438826849919,0.02737665463297232,0.0019443613520789711,0.029135053110773905,0.0007943297079310766,0.00798801797304044,0.0,0.010188487009679063,0.0
also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway,[],1,0,1,0,0,0,0,0,0,0,0,0.02108618364594827,0.0006787220633150725,0.006744604316546762,0.0,0.02132758207524563,0.0006128317541130439,0.013058129738837406,0.0,0.011217748971706343,5.0205843960236973e-05,0.007618416694269626,0.0,0.012213066509711596,0.0,0.01444043321299639,0.0,0.020940819423368742,6.110228522546743e-05,0.0054917623564653024,0.0,0.005094243504839531,0.0
mascritical irony protesting kind stuff orwellian nightmare think fighting,[],1,0,1,0,0,0,0,0,0,0,0,0.015937231825426012,0.0004363213264168323,0.010341726618705036,0.0,0.016774502755811167,0.0004242681374628766,0.02548441449031171,0.0,0.008350990901159167,0.0,0.005631003643590593,0.0,0.008975868157739847,0.0,0.015944645006016847,0.0,0.018209408194233688,0.0,0.0064902646030953574,0.0,0.007641365257259297,0.0
loismackey dory nah way horrible,[],1,0,1,0,0,0,0,0,0,0,0,0.013117567733235259,0.00019392058951859213,0.005620503597122302,0.0,0.014497963096093937,0.00018856361665016736,0.011162594776748105,0.0,0.006855291038264988,0.0,0.0059622391520370984,0.0,0.007798705120659211,0.0,0.00631768953068592,0.0,0.008042488619119877,0.0,0.0044932601098352475,0.0,0.006622516556291391,0.0
maryamnsharif think becz much terror pak urself leader forgot difference btw leader terrorist,[],1,0,1,1,0,0,0,0,0,0,0,0.022802500919455685,0.0005817617685557764,0.012140287769784174,0.0,0.023484303858135634,0.0005656908499505021,0.03559393428812131,0.0011762399529504023,0.01533092359466534,0.0,0.01258694932096721,0.0,0.01309593878752207,0.0,0.019855595667870037,0.0,0.01987860394537178,0.0,0.008487269096355467,0.0,0.00815078960774325,0.0
angel delight everything,[],0,0,0,0,1,1,0,0,0,0,0,0.001961505455437048,0.0,0.0022482014388489208,0.0,0.0016774502755811168,0.0,0.0014743049705139006,0.0,0.007478499314470897,0.00010041168792047395,0.006293474660483604,0.00033818058843422386,0.007798705120659211,0.0,0.0009025270758122744,0.0,0.0025796661608497723,0.0,0.0014977533699450823,0.0,0.004584819154355578,0.0
puzzle investing opening portland feodal population correlative straight snorting infuriate xlzjyhg,[],1,1,0,0,0,0,0,0,0,0,0,0.0036778227289444654,0.00048480147379648033,0.003372302158273381,0.0011716461628588166,0.002396357536544452,0.0,0.0008424599831508003,0.0,0.0008724915866882713,0.0,0.000662471016893011,0.0,0.0007357268981753973,0.0,0.0009025270758122744,0.0,0.0012139605462822458,0.0,0.00199700449326011,0.0,0.0005094243504839531,0.0
dire need worship session let everything,[],0,1,0,1,0,0,1,0,1,0,0,0.013362755915164889,0.0,0.013489208633093526,0.0005858230814294083,0.012461059190031152,0.0,0.010741364785172704,0.0004900999803960008,0.014333790352735883,0.0,0.01391189135475323,0.0,0.020747498528546206,0.0003067861087249969,0.00812274368231047,0.0,0.012139605462822459,0.00030551142612733715,0.0014977533699450825,0.0,0.010697911360163015,0.0
